t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm,q_ref_base_rad,qdd_ref_rad_s2,disturb_jump_active,disturb_jump_rad,disturb_pulse_active,disturb_pulse_raw,disturb_event_count
2.500139,2.1816615650,2.1997284498,0.0000000000,0.0055692504,-0.0181065077,-0.0055692504,-0.0016106277,-0.0410673756,0.0690893222,0.2440318891,0.5044389729,0.9019614937,0.0005618062,0.0079063015,1.6603233071,-1.623,-1,0.1169664272,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.541872,2.1816615650,2.1951265075,0.0000000000,-0.0058341867,-0.0134234347,0.0058341867,-0.0021699374,-0.0213466072,0.4732984409,0.2264537206,0.5044502168,0.9019674847,0.0001437825,0.0023525184,0.4940288735,-1.200,-2,0.1068309481,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.583472,2.1816615650,2.1859226227,0.0000000000,-0.0591082699,-0.0038405277,0.0591082699,-0.0023299594,0.0498186464,1.7079660858,0.2116103935,0.5044530943,0.9019985800,0.0007462875,-0.0075916909,-1.5942550901,-0.777,-1,0.0990669581,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.625201,2.1816615650,2.1751847572,0.0000000000,-0.1195865244,0.0073276148,0.1195865244,-0.0020246422,0.1315830690,1.9623461427,0.2007388472,0.5044680282,0.9022076628,0.0050179870,-0.0258099076,-5.4200805907,-0.353,-1,0.1029578997,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.666795,2.1816615650,2.1721167956,0.0000000000,-0.1382175878,0.0105281284,0.1382175878,-0.0015859701,0.1566251058,0.6010088827,0.2099189976,0.5045683904,0.9025132844,0.0073349184,-0.0422923475,-8.8813929840,0.070,0,0.1119280874,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.708444,2.1816615650,2.1721167956,0.0000000000,-0.0941333756,0.0102144881,0.0941333756,-0.0011603665,0.1123274664,-1.0631433446,0.2268146553,0.5047149274,0.9026793599,0.0039858124,-0.0299316486,-6.2856462149,0.494,0,0.1112112137,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.750133,2.1816615650,2.1721167956,0.0000000000,-0.0578071040,0.0099560422,0.0578071040,-0.0007455314,0.0758820980,-0.8746888427,0.2239260349,0.5047944738,0.9027544569,0.0018023289,-0.0190123841,-3.9926006565,0.917,0,0.1054816150,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.791900,2.1816615650,2.1751847572,0.0000000000,-0.0354992185,0.0067293695,0.0354992185,-0.0004651410,0.0477505748,-0.6751565555,0.2106626143,0.5048304245,0.9027829341,0.0006834527,-0.0086855884,-1.8239735674,1.340,0,0.0977065927,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.833456,2.1816615650,2.1797866996,0.0000000000,0.0059627603,0.0018324429,-0.0059627603,-0.0003887892,-0.0028587047,-1.2146227075,0.1922432458,0.5048440542,0.9027830299,0.0000022990,0.0004060085,0.0852617859,0.917,0,0.0889781546,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.875107,2.1816615650,2.1828546612,0.0000000000,0.0314244725,-0.0014166679,-0.0314244725,-0.0004478170,-0.0344867531,-0.7590731626,0.1732895551,0.5048441000,0.9027960319,0.0003120479,0.0045680013,0.9592802777,0.494,0,0.0818656114,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.916798,2.1816615650,2.1859226227,0.0000000000,0.0470604553,-0.0045958728,-0.0470604553,-0.0006393117,-0.0562747937,-0.5229129735,0.1581568466,0.5048503224,0.9028286556,0.0007829687,0.0072880898,1.5304988591,0.070,0,0.0767700820,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
2.958463,2.1816615650,2.1889905843,0.0000000000,0.0566624789,-0.0077321486,-0.0566624789,-0.0009614846,-0.0720637771,-0.3789356026,0.1473468426,0.5048659336,0.9028798147,0.0012278190,0.0122772482,2.5782221120,-0.353,0,0.0735286762,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
3.000104,2.1816615650,2.1905245651,0.0000000000,0.0533048095,-0.0092422411,-0.0533048095,-0.0013465780,-0.0718886649,0.0042026937,0.1410028819,0.5048904099,0.9029293595,0.0011890737,0.0138716679,2.9130502551,-0.777,0,0.0705562904,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
3.041800,2.1816615650,2.1920585459,0.0000000000,0.0512428720,-0.0107615520,-0.0512428720,-0.0017949760,-0.0730826731,-0.0286561967,0.1351351013,0.5049141086,0.9029792578,0.0011975604,0.0154605729,3.2467203031,-1.200,0,0.0679655858,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
3.083615,2.1816615650,2.1920585459,0.0000000000,0.0314681377,-0.0106208633,-0.0314681377,-0.0022375119,-0.0534349565,0.4715451983,0.1308884590,0.5049379713,0.9030054278,0.0006280802,0.0102501599,2.1525335745,-1.623,0,0.0638875831,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
3.125145,2.1816615650,2.1920585459,0.0000000000,0.0193245159,-0.0105344666,-0.0193245159,-0.0026764480,-0.0415173307,0.2860230187,0.1234303394,0.5049504843,0.9030206906,0.0003663050,0.0070672398,1.4841203623,-1.447,-2,0.0593862807,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
3.166770,2.1816615650,2.1905245651,0.0000000000,0.0118671437,-0.0089474298,-0.0118671437,-0.0030492576,-0.0314035548,0.2427306224,0.1151832127,0.5049577815,0.9030290840,0.0002014429,0.0043781459,0.9194106477,-1.024,0,0.0547724404,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
3.208466,2.1816615650,2.1905245651,0.0000000000,0.0072875875,-0.0089148482,-0.0072875875,-0.0034207096,-0.0270915210,0.1034888112,0.1063595213,0.5049617942,0.9030350609,0.0001434444,0.0033670119,0.7070724983,-0.670,0,0.0503939275,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
3.250104,2.1816615650,2.1905245651,0.0000000000,0.0044752919,-0.0088948399,-0.0044752919,-0.0037913279,-0.0245696698,0.0605244283,0.0979294712,0.5049646515,0.9030397647,0.0001128929,0.0027436796,0.5761727069,-0.539,0,0.0463152315,2.1816615650,0.0000000000,0,0.0000000000,0,0.000,0
