t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
3.666774,2.5364716113,2.5264663576,0.0136282656,0.0880894399,0.0097344993,-0.0744611743,0.1055723782,0.0736795341,-0.8039723991,0.2529037952,0.5043631155,0.9018581303,0.0018698296,-0.0127996610,-2.6879288158,5.682,6,0.1458975171
3.708457,2.5381453644,2.5326022808,0.0133765900,0.0986155537,0.0052399759,-0.0852389637,0.1057907105,0.0533124391,-0.4888102789,0.2416218532,0.5044005593,0.9018975842,0.0009468953,-0.0089587817,-1.8813441497,5.175,6,0.1404572569
3.750214,2.5398176469,2.5356702424,0.0131129720,0.1007752687,0.0038376586,-0.0876622966,0.1059506130,0.0480074268,-0.1273202964,0.2315665610,0.5044195163,0.9019286113,0.0007446495,-0.0078241169,-1.6430645584,4.668,4,0.1351239313
3.791820,2.5414787315,2.5356702424,0.0128388676,0.0929845086,0.0055226891,-0.0801456410,0.1061807250,0.0594938899,0.2756751161,0.2234525767,0.5044344220,0.9019750653,0.0011148951,-0.0094529284,-1.9851149677,4.162,6,0.1302812065
3.833450,2.5431349780,2.5356702424,0.0125531717,0.0835512743,0.0072079299,-0.0709981026,0.1064810554,0.0726960364,0.3168515151,0.2161948575,0.5044567352,0.9020428256,0.0016262483,-0.0112849609,-2.3698417917,3.655,2,0.1260218182
3.875123,2.5447864722,2.5356702424,0.0122557253,0.0750750371,0.0088854769,-0.0628193118,0.1068512836,0.0849965258,0.2952117466,0.2097704800,0.5044892743,0.9021335228,0.0021767325,-0.0129198008,-2.7131581720,3.148,5,0.1223660203
3.916771,2.5464298381,2.5356702424,0.0119470124,0.0674587101,0.0105522526,-0.0555116978,0.1072909608,0.0964856446,0.2757388511,0.2042392666,0.5045328129,0.9022482510,0.0027534766,-0.0143981966,-3.0236212922,2.894,2,0.1193224572
3.958454,2.5480667928,2.5356702424,0.0116265878,0.0606150559,0.0122102422,-0.0489884681,0.1077997209,0.1072540967,0.2584428495,0.1996379340,0.5045878626,0.9023878117,0.0033494562,-0.0157578593,-3.3091504451,3.179,2,0.1168912930
4.000190,2.5496973021,2.5356702424,0.0112942972,0.0544656872,0.0138596523,-0.0431713900,0.1083772064,0.1173801384,0.2430250004,0.1959853402,0.5046547905,0.9025528717,0.0039614418,-0.0170315063,-3.5766163226,3.447,3,0.1150663143
4.041880,2.5513168567,2.5356702424,0.0109509344,0.0489401691,0.0154961903,-0.0379892346,0.1090228810,0.1269249453,0.2290753652,0.1932863560,0.5047338941,0.9027440554,0.0045884071,-0.0182464100,-3.8317461047,3.702,3,0.1138361912
