t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,u_aux,u_robust,u_fric,tail_activation,max_control_eff,current_from_u_raw,goal_current_raw,slew_boost,max_current_slew_eff_raw_s,present_current_raw,psi_hat_norm
2.166786,2.4802308557,2.4482333375,0.0153879726,0.0061782695,0.0319628175,0.0092097031,0.0285527543,0.1247223068,-0.1165181699,0.0979889572,0.4971832899,0.8874430047,0.0036030550,-0.0142817603,-0.0005585048,-0.0000000000,0.0001080081,0.0480396683,0.0632000000,-2.9991696544,2.870,1.000000,10.1211443054,3,0.0669653807
2.208462,2.4816439981,2.4513012990,0.0155163066,0.0119608055,0.0302755202,0.0035555012,0.0298142343,0.1168415969,-0.1891370375,0.1019190619,0.4972598683,0.8875769950,0.0032157682,-0.0135822483,-0.0002156165,-0.0000000000,0.0001089088,0.0247772868,0.0632000000,-2.8522721446,2.723,1.000000,10.1211443054,3,0.0685273423
2.250120,2.4830738649,2.4559032414,0.0156355524,0.0235806443,0.0270381808,-0.0079450919,0.0309408252,0.0992601591,-0.4219545092,0.1033831026,0.4973281775,0.8876742965,0.0023352352,-0.0115900488,0.0004818148,0.0000000000,0.0001097457,0.0011454431,0.0632000000,-2.4339102441,2.304,1.000000,10.1211443054,4,0.0678013029
2.291769,2.4845202431,2.4620391646,0.0157456252,0.0369111596,0.0222737639,-0.0211655344,0.0318688987,0.0760698779,-0.5565667486,0.1011298049,0.4973777601,0.8877309004,0.0013584936,-0.0087719003,0.0012835432,0.0000000000,0.0001105183,0.0000000000,0.0632000000,-1.8420990570,1.883,1.000000,10.1211443054,3,0.0648758813
2.333470,2.4859847597,2.4651071261,0.0158465547,0.0450780387,0.0206244490,-0.0292314840,0.0327282507,0.0653049835,-0.2583574646,0.0961799204,0.4974065955,0.8877717378,0.0009800992,-0.0073538665,0.0017726872,0.0000000000,0.0001112266,0.0000000000,0.0632000000,-1.5443119660,1.461,1.000000,10.1211443054,2,0.0613733217
2.375135,2.4874638554,2.4651071261,0.0159380109,0.0421583274,0.0221199435,-0.0262203165,0.0336499151,0.0731415697,0.1880780688,0.0910874255,0.4974273951,0.8878218292,0.0012021927,-0.0080641058,0.0015900807,0.0000000000,0.0001118685,0.0000000000,0.0632000000,-1.6934622125,1.564,1.000000,10.1211443054,0,0.0587713607
2.416869,2.4889606792,2.4651071261,0.0160200965,0.0363239010,0.0236495368,-0.0203038044,0.0346353124,0.0840532540,0.2618804227,0.0873893762,0.4974529035,0.8878868927,0.0015615229,-0.0091291260,0.0012312852,0.0000000000,0.0001124446,0.0000000000,0.0632000000,-1.9171164632,1.787,1.000000,10.1211443054,2,0.0573339486
2.458578,2.4904713495,2.4651071261,0.0160925028,0.0312969196,0.0251884416,-0.0152044168,0.0356848308,0.0942594900,0.2449496650,0.0853866018,0.4974860288,0.8879679748,0.0019459704,-0.0101575577,0.0009220427,0.0000000000,0.0001129527,0.0000000000,0.0632000000,-2.1330871133,2.003,1.000000,10.1211443054,1,0.0570156688
2.500136,2.4919906957,2.4651071261,0.0161549672,0.0269656383,0.0267321148,-0.0108106711,0.0367986689,0.1038612942,0.2304432991,0.0850249026,0.4975272977,0.8880662546,0.0023587163,-0.0111852676,0.0006555924,0.0000000000,0.0001133911,0.0004763894,0.0632000000,-2.3489061914,2.219,1.000000,10.1211443054,1,0.0577627654
2.541765,2.4935261983,2.4651071261,0.0162077464,0.0232337770,0.0282885777,-0.0070260306,0.0379773597,0.1129749177,0.2187269661,0.0862343564,0.4975773023,0.8881831821,0.0028062598,-0.0122430060,0.0004260801,0.0000000000,0.0001137615,0.0067806084,0.0632000000,-2.5710312624,2.441,1.000000,10.1211443054,2,0.0595213106
