t,q_ref_rad,q_meas_rad,qd_ref_rad_s,qd_meas_rad_s,e_rad,e_dot_rad_s,e_int,psi,psi_dot,kappa_delta,nussbaum_n,zeta,zeta_dot,u_cmd,current_from_u_raw,goal_current_raw,present_current_raw,psi_hat_norm
2.666790,2.4982139988,2.4758449916,0.0163063596,0.0268096274,0.0222866043,-0.0105032679,0.0361198317,0.0934142552,0.1950050723,0.0647290681,0.4974227788,0.8878333739,0.0016968052,-0.0090353401,-1.8974214108,1.768,1,0.0446670523
2.708429,2.4997987097,2.4758449916,0.0163189352,0.0240898034,0.0238796749,-0.0077708683,0.0371148181,0.1013355073,0.1901100499,0.0658880690,0.4974587818,0.8879170687,0.0020086759,-0.0098606451,-2.0707354614,1.941,1,0.0461769613
2.750117,2.5013960537,2.4758449916,0.0163212300,0.0216459043,0.0254845305,-0.0053246743,0.0381766736,0.1090929119,0.1861777100,0.0681697983,0.4975013892,0.8880151994,0.0023551376,-0.0107402416,-2.2554507424,2.126,1,0.0484317526
2.791770,2.5030022070,2.4758449916,0.0163131489,0.0194499375,0.0270974335,-0.0031367887,0.0393057333,0.1167059595,0.1827131419,0.0715482802,0.4975513279,0.8881294215,0.0027413294,-0.0116870816,-2.4542871356,2.325,1,0.0514119975
2.833430,2.5046182521,2.4758449916,0.0162946110,0.0174767506,0.0287195434,-0.0011821395,0.0405023809,0.1242030184,0.1799294148,0.0759968207,0.4976094313,0.8882616493,0.0031734666,-0.0127142392,-2.6699902371,2.540,2,0.0551001408
2.875223,2.5062484955,2.4758449916,0.0162654276,0.0157037425,0.0303552364,0.0005616850,0.0417671824,0.1316176959,0.1779522598,0.0814908848,0.4976766616,0.8884141014,0.0036588507,-0.0138349528,-2.9053400814,2.776,1,0.0594820406
2.916768,2.5078774065,2.4758449916,0.0162258326,0.0141106053,0.0319890441,0.0021152273,0.0431000593,0.1389336736,0.1755834648,0.0880100140,0.4977541315,0.8885892158,0.0042027463,-0.0150570719,-3.1619851016,3.032,4,0.0645402537
2.958462,2.5095199642,2.4773789724,0.0161754110,0.0126790911,0.0321020209,0.0034963199,0.0444376435,0.1424706524,0.0848874908,0.0953486046,0.4978430603,0.8887795665,0.0045684153,-0.0159636657,-3.3523698069,3.223,4,0.0696646631
3.000228,2.5111725238,2.4773789724,0.0161141023,0.0113928033,0.0337585341,0.0047212990,0.0458442491,0.1496160499,0.1714895389,0.1029521257,0.4979396571,0.8889965812,0.0052083549,-0.0173340123,-3.6401425787,3.510,2,0.0754549839
3.041796,2.5128237876,2.4773789724,0.0160422839,0.0102370088,0.0354133503,0.0058052751,0.0473198053,0.1567137097,0.1703438360,0.1115372670,0.4980496968,0.8892434596,0.0059250802,-0.0188304164,-3.9543874352,3.825,4,0.0818983036
3.083442,2.5144840986,2.4773789724,0.0159594607,0.0091984691,0.0370768535,0.0067609916,0.0488646742,0.1638015558,0.1701083066,0.1210845544,0.4981747647,0.8895238480,0.0067293221,-0.0204660966,-4.2978802788,4.168,2,0.0889883148
3.125100,2.5161501556,2.4804469340,0.0158656717,0.0106981320,0.0356703395,0.0051675397,0.0503509384,0.1609637853,-0.0681064924,0.1310151590,0.4983166608,0.8898053261,0.0067554737,-0.0209138044,-4.3918989167,4.262,4,0.0948910818
3.166778,2.5178217062,2.4819809148,0.0157608264,0.0144784980,0.0357962898,0.0012823284,0.0518424505,0.1594824914,-0.0355510531,0.1393007892,0.4984589501,0.8900904282,0.0068424515,-0.0213859288,-4.4910450389,4.361,2,0.0999728349
3.208439,2.5194966257,2.4850488764,0.0156449631,0.0178753477,0.0343928071,-0.0022303846,0.0532754841,0.1546575474,-0.1157986563,0.1460714778,0.4986029094,0.8903652883,0.0065966425,-0.0212670198,-4.4660741618,4.336,3,0.1037320386
3.250140,2.5211765301,2.4881168380,0.0155178667,0.0209275886,0.0329953685,-0.0054097219,0.0546502911,0.1500981749,-0.1094249394,0.1508642350,0.4987415426,0.8906286804,0.0063214100,-0.0210045843,-4.4109627022,4.281,5,0.1063624274
3.291772,2.5228564390,2.4896508187,0.0153798300,0.0236701811,0.0331328669,-0.0082903511,0.0560308272,0.1494922999,-0.0145410015,0.1542807152,0.4988742493,0.8908931317,0.0063468312,-0.0211801589,-4.4478333782,4.318,3,0.1086305498
3.333456,2.5245405817,2.4911847995,0.0152304151,0.0237016957,0.0332829320,-0.0084712806,0.0574176161,0.1516248039,0.0511800979,0.1572638070,0.4990073493,0.8911680392,0.0065977791,-0.0217137313,-4.5598835666,4.430,4,0.1110106975
3.375115,2.5262251632,2.4911847995,0.0150698503,0.0212971699,0.0349749040,-0.0062273196,0.0588749037,0.1599449445,0.1996833732,0.1608004161,0.4991455627,0.8914777143,0.0074322030,-0.0231939258,-4.8707244159,4.741,2,0.1145490484
3.416773,2.5279105666,2.4927187803,0.0148980106,0.0191365821,0.0351329675,-0.0042385715,0.0603387774,0.1643749037,0.1063190199,0.1656900494,0.4993010737,0.8918102857,0.0079817140,-0.0242450538,-5.0914612966,4.962,6,0.1185069424
3.458552,2.5296010188,2.4927187803,0.0147143158,0.0171951849,0.0368293868,-0.0024808691,0.0618733352,0.1723283879,0.1908836219,0.1714815822,0.4994678671,0.8921829858,0.0089448029,-0.0259251636,-5.4442843549,5.315,5,0.1235243188
